Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
3.6375000000000e-001	      -0.3975282	        1.333118
3.6500000000000e-001	      -0.4259545	        1.439303
3.6625000000000e-001	      -0.4483718	        1.525305
3.6750000000000e-001	      -0.4649229	        1.583368
3.6875000000000e-001	      -0.4750663	        1.645673
3.7000000000000e-001	      -0.4808478	        1.679443
3.7125000000000e-001	      -0.4786951	        1.690672
3.7250000000000e-001	      -0.4667574	        1.689816
3.7375000000000e-001	      -0.4529764	        1.657634
3.7500000000000e-001	      -0.4325293	        1.617039
3.7625000000000e-001	      -0.4083521	        1.553305
3.7750000000000e-001	      -0.3770082	        1.487918
3.7875000000000e-001	      -0.3428166	        1.379673
3.8000000000000e-001	      -0.3069031	         1.29072
3.8125000000000e-001	      -0.2549259	        1.161542
3.8250000000000e-001	      -0.2074395	        1.019579
3.8375000000000e-001	      -0.1550784	       0.8792606
3.8500000000000e-001	      -0.1010237	       0.7139148
3.8625000000000e-001	     -0.04388178	        0.545281
3.8750000000000e-001	      0.01437996	       0.3837805
3.8875000000000e-001	      0.07221121	        0.200205
3.9000000000000e-001	       0.1278443	      0.02443263
3.9125000000000e-001	       0.1843379	      -0.1451206
3.9250000000000e-001	       0.2407755	      -0.3219295
3.9375000000000e-001	       0.2909331	      -0.4651259
3.9500000000000e-001	        0.338933	      -0.6176162
3.9625000000000e-001	       0.3802728	      -0.7781753
3.9750000000000e-001	       0.4174213	      -0.9111052
3.9875000000000e-001	       0.4486513	       -1.049997
4.0000000000000e-001	       0.4717155	       -1.168385
4.0125000000000e-001	       0.4970942	       -1.259435
4.0250000000000e-001	       0.5113483	       -1.341362
4.0375000000000e-001	       0.5207313	       -1.400482
4.0500000000000e-001	       0.5242764	       -1.439511
4.0625000000000e-001	        0.523983	       -1.466185
4.0750000000000e-001	       0.5169295	       -1.482422
